"","max_ord","n","algorithm"
"268",4716,10000,"B"
"269",5351,10000,"B"
"270",8199,10000,"B"
"271",4200,10000,"B"
"272",8180,10000,"B"
"273",5004,10000,"B"
"274",7365,10000,"B"
"275",4019,10000,"B"
"276",6683,10000,"B"
"277",8121,10000,"B"
"278",5994,10000,"B"
"279",9987,10000,"B"
"280",6470,10000,"B"
"281",5656,10000,"B"
"282",9874,10000,"B"
"283",4748,10000,"B"
"284",7179,10000,"B"
"285",6926,10000,"B"
"286",4574,10000,"B"
"287",7735,10000,"B"
"288",5801,10000,"B"
"289",6158,10000,"B"
"290",9725,10000,"B"
"291",8740,10000,"B"
"292",2514,10000,"B"
"293",6906,10000,"B"
"294",5284,10000,"B"
"295",7432,10000,"B"
"296",9181,10000,"B"
"297",8779,10000,"B"
"298",7074,10000,"B"
"299",4210,10000,"B"
"300",6053,10000,"B"
"301",29,100,"Q"
"302",57,100,"Q"
"303",54,100,"Q"
"304",78,100,"Q"
"305",36,100,"Q"
"306",35,100,"Q"
"307",29,100,"Q"
"308",52,100,"Q"
"309",56,100,"Q"
"310",43,100,"Q"
"311",26,100,"Q"
"312",35,100,"Q"
"313",76,100,"Q"
"314",50,100,"Q"
"315",35,100,"Q"
"316",31,100,"Q"
"317",23,100,"Q"
"318",40,100,"Q"
"319",31,100,"Q"
"320",42,100,"Q"
"321",29,100,"Q"
"322",31,100,"Q"
"323",28,100,"Q"
"324",53,100,"Q"
"325",63,100,"Q"
"326",29,100,"Q"
"327",44,100,"Q"
"328",34,100,"Q"
"329",39,100,"Q"
"330",54,100,"Q"
"331",36,100,"Q"
"332",42,100,"Q"
"333",29,100,"Q"
"334",32,100,"Q"
"335",38,100,"Q"
"336",48,100,"Q"
"337",37,100,"Q"
"338",33,100,"Q"
"339",33,100,"Q"
"340",38,100,"Q"
"341",55,100,"Q"
"342",26,100,"Q"
"343",55,100,"Q"
"344",38,100,"Q"
"345",47,100,"Q"
"346",44,100,"Q"
"347",42,100,"Q"
"348",22,100,"Q"
"349",34,100,"Q"
"350",27,100,"Q"
"351",45,100,"Q"
"352",63,100,"Q"
"353",42,100,"Q"
"354",76,100,"Q"
"355",36,100,"Q"
"356",25,100,"Q"
"357",42,100,"Q"
"358",48,100,"Q"
"359",42,100,"Q"
"360",41,100,"Q"
"361",29,100,"Q"
"362",36,100,"Q"
"363",47,100,"Q"
"364",42,100,"Q"
"365",39,100,"Q"
"366",27,100,"Q"
"367",23,100,"Q"
"368",35,100,"Q"
"369",29,100,"Q"
