"","max_ord","n","algorithm"
"1137",1823,10000,"M"
"1138",2529,10000,"M"
"1139",2553,10000,"M"
"1140",2395,10000,"M"
"1141",2876,10000,"M"
"1142",2266,10000,"M"
"1143",3881,10000,"M"
"1144",3402,10000,"M"
"1145",3123,10000,"M"
"1146",3508,10000,"M"
"1147",3383,10000,"M"
"1148",2894,10000,"M"
"1149",4272,10000,"M"
"1150",4650,10000,"M"
"1151",3047,10000,"M"
"1152",2345,10000,"M"
"1153",2554,10000,"M"
"1154",2157,10000,"M"
"1155",2379,10000,"M"
"1156",2153,10000,"M"
"1157",2241,10000,"M"
"1158",2056,10000,"M"
"1159",2112,10000,"M"
"1160",1870,10000,"M"
"1161",2221,10000,"M"
"1162",2178,10000,"M"
"1163",2161,10000,"M"
"1164",1690,10000,"M"
"1165",2415,10000,"M"
"1166",1787,10000,"M"
"1167",1801,10000,"M"
"1168",1958,10000,"M"
"1169",2412,10000,"M"
"1170",2124,10000,"M"
"1171",1983,10000,"M"
"1172",2393,10000,"M"
"1173",1775,10000,"M"
"1174",1631,10000,"M"
"1175",2360,10000,"M"
"1176",2670,10000,"M"
"1177",2826,10000,"M"
"1178",2276,10000,"M"
"1179",2305,10000,"M"
"1180",2223,10000,"M"
"1181",1771,10000,"M"
"1182",2757,10000,"M"
"1183",3832,10000,"M"
"1184",3444,10000,"M"
"1185",1669,10000,"M"
"1186",2540,10000,"M"
"1187",3198,10000,"M"
"1188",2320,10000,"M"
"1189",3368,10000,"M"
"1190",3732,10000,"M"
"1191",2595,10000,"M"
"1192",4475,10000,"M"
"1193",3198,10000,"M"
"1194",2563,10000,"M"
"1195",3610,10000,"M"
"1196",3024,10000,"M"
"1197",3322,10000,"M"
"1198",1766,10000,"M"
"1199",4032,10000,"M"
"1200",1875,10000,"M"
